data_type,collector,purpose,text
relevant device information,oppo,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
relevant device information,terminal equipment manufacturer,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
relevant device information,vivo,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
relevant information necessary,we,"security, services, analytics","When you turn on relevant features, use relevant services or there is a need to meet the requirements arising from Customer's management, we will collect relevant information necessary for such purposes."
relevant information of event involve,customer service provider,"analytics, services","to deal with your complaints, suggestions and other demands in a timely manner, the customer service provider needs to use your account and relevant information of the events involved to understand, handle and respond to relevant issues in a timely manner."
relevant system permission authorize,UNSPECIFIED_ACTOR,services,"a. When you use the products and services in the Feishu open platform or the products and services of other third parties, these products and services may use the relevant system permissions authorized by you, or you may be required to submit personal information according to the features of these products and services."
report,we,"security, services, analytics","If necessary, we will review and analyze the reports to help you resolve the related issues."
router ssid,feishu,"services, security","In WiFi or Bluetooth clock-in mode, Feishu also needs to obtain your WiFi access point, Bluetooth information respectively to help you clock in."
search keyword information,we,"security, services, analytics","1.8.1 When you use the search feature, we will collect your search keyword information and log records so as to show you the content of search results and search history."
service log,we,"security, services, analytics","c. We may use your account information, device information, service logs and other information that our affiliates and partners may seek from you with your authorization or according to law, for the purpose of maintaining the security of accounts and transactions, conducting identity verification, identifying violations, detecting and preventing security incidents."
text in picture,we,"security, services, analytics","1.8.2 For the purpose of helping you quickly search the desired pictures exiting in the earlier Feishu chat, we will process the texts in pictures if such were in a chat in Feishu group through the programmed algorithm."
time zone information of device,feishu,"services, security","1.3.2 When participants are not in the same time zone, Feishu needs to use the time zone information of your device to show your local time, so that the meeting coordinator can arrange the appropriate meeting time."
transaction information,feishu,"services, security","1.7.6 When you use the digital red packets or activate or purchase applications from us or through Feishu's open platform, Feishu will obtain your transaction and order information so as to show you relevant records and manage your order."
verification result,feishu,"services, security",Feishu only receives the verification results without collecting your fingerprint or face information itself.
version,Xiaomi,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
version,huawei,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
version,oppo,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
version,terminal equipment manufacturer,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
version,vivo,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
